epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,76.8768,0.9911,1.7079,1.0268,0.85911,0.50379,0.57913,0.45979,0.95801,1.47547,1.01644,0.0088615,0.0088615,0.0088615
25,80.0555,0.97407,1.75255,1.0248,0.4806,0.53681,0.55687,0.4308,1.00499,1.609,1.02317,0.008812,0.008812,0.008812
26,83.1747,1.0255,1.66038,1.05959,0.54769,0.58088,0.59828,0.46008,0.93326,1.49265,0.98993,0.0087625,0.0087625,0.0087625
27,86.3372,1.00865,1.67638,1.04985,0.79545,0.52234,0.59173,0.4265,1.01934,1.54743,1.0369,0.008713,0.008713,0.008713
28,89.4849,0.97007,1.56428,1.06792,0.79274,0.54994,0.62729,0.46816,0.99858,1.46445,1.04138,0.0086635,0.0086635,0.0086635
29,92.6697,0.95042,1.57391,1.03299,0.81853,0.5349,0.65108,0.49436,0.9619,1.33261,1.02131,0.008614,0.008614,0.008614
30,95.8754,0.96469,1.5565,1.02643,0.5955,0.55012,0.50678,0.37955,0.96566,1.57731,1.03976,0.0085645,0.0085645,0.0085645
31,99.0282,0.95322,1.6047,1.03278,0.63889,0.59015,0.59405,0.45077,1.00275,1.52838,1.05204,0.008515,0.008515,0.008515
32,102.182,0.96374,1.53116,0.99432,0.67473,0.52183,0.61358,0.45098,0.98312,1.4383,1.04253,0.0084655,0.0084655,0.0084655
33,105.321,0.92862,1.51816,1.01456,0.62671,0.6838,0.68787,0.50193,0.97581,1.28377,1.0362,0.008416,0.008416,0.008416
34,108.43,0.9459,1.62571,1.06196,0.6454,0.68099,0.65557,0.50254,0.92566,1.27674,1.0209,0.0083665,0.0083665,0.0083665
35,111.613,0.9819,1.57651,1.00533,0.8337,0.58123,0.67961,0.54203,0.92727,1.37384,1.03194,0.008317,0.008317,0.008317
36,114.772,0.97629,1.54925,1.03523,0.56603,0.7224,0.69488,0.51859,0.93856,1.5084,1.03691,0.0082675,0.0082675,0.0082675
37,117.89,0.90144,1.50772,1.05945,0.69745,0.65852,0.7081,0.5264,0.97073,1.3073,1.04255,0.008218,0.008218,0.008218
38,121.034,0.90457,1.42947,1.03704,0.64781,0.61248,0.64189,0.49664,0.94576,1.35068,1.02666,0.0081685,0.0081685,0.0081685
39,124.164,0.8861,1.34489,1.0114,0.64216,0.63484,0.64371,0.48601,0.98161,1.41466,1.02881,0.008119,0.008119,0.008119
40,127.287,0.84801,1.51771,1.03425,0.87128,0.52833,0.6093,0.47411,0.96138,1.44005,1.02078,0.0080695,0.0080695,0.0080695
41,130.458,0.93231,1.42505,1.01249,0.79588,0.55915,0.59201,0.46492,0.9149,1.39591,1.00726,0.00802,0.00802,0.00802
42,133.584,0.93971,1.39404,1.02872,0.61778,0.62461,0.63047,0.50218,0.89167,1.30437,0.99708,0.0079705,0.0079705,0.0079705
43,136.737,0.92172,1.37583,1.00028,0.70256,0.63779,0.65729,0.52755,0.89405,1.29991,0.98977,0.007921,0.007921,0.007921
44,139.895,0.89052,1.36635,1.03431,0.85742,0.57178,0.67798,0.53269,0.93173,1.35288,0.98714,0.0078715,0.0078715,0.0078715
45,143.004,0.91369,1.27442,1.0046,0.72358,0.67276,0.74113,0.60245,0.87034,1.16886,0.973,0.007822,0.007822,0.007822
46,146.193,0.92779,1.3348,1.01273,0.75337,0.64029,0.71392,0.56785,0.86912,1.17687,0.9799,0.0077725,0.0077725,0.0077725
47,149.378,0.90949,1.35526,1.01453,0.61327,0.71892,0.72133,0.56806,0.8633,1.1393,0.97908,0.007723,0.007723,0.007723
48,152.459,0.81452,1.27955,1.00519,0.74792,0.67905,0.74908,0.56076,0.90872,1.20862,0.99684,0.0076735,0.0076735,0.0076735
49,155.617,0.87255,1.34222,0.99798,0.7294,0.67079,0.69721,0.55026,0.88726,1.25485,0.97916,0.007624,0.007624,0.007624
50,159.004,0.86227,1.4404,0.98735,0.69025,0.70465,0.71126,0.55706,0.90489,1.342,0.99376,0.0075745,0.0075745,0.0075745
51,162.14,0.88474,1.28736,0.99536,0.70696,0.72603,0.71761,0.55662,0.90271,1.29368,1.01949,0.007525,0.007525,0.007525
52,165.288,0.95498,1.31521,0.99007,0.78765,0.74533,0.79166,0.61281,0.87309,1.18762,1.00402,0.0074755,0.0074755,0.0074755
53,168.443,0.93933,1.26634,0.9812,0.8185,0.61932,0.74668,0.60989,0.84661,1.28866,1.00429,0.007426,0.007426,0.007426
54,171.584,0.88882,1.28754,1.00437,0.81412,0.73822,0.78484,0.62001,0.87399,1.13514,0.9962,0.0073765,0.0073765,0.0073765
55,174.715,0.84394,1.20868,0.98695,0.76641,0.7312,0.74848,0.60163,0.88919,1.24521,1.00506,0.007327,0.007327,0.007327
56,177.87,0.92238,1.26492,0.98949,0.80365,0.67281,0.75757,0.596,0.89981,1.26839,1.02191,0.0072775,0.0072775,0.0072775
57,181.035,0.939,1.35738,1.05578,0.7115,0.7117,0.72391,0.56842,0.87789,1.29109,1.01996,0.007228,0.007228,0.007228
58,184.152,0.82986,1.15066,0.99915,0.68037,0.71187,0.73839,0.58896,0.85513,1.22531,1.00305,0.0071785,0.0071785,0.0071785
59,187.268,0.84021,1.22448,0.98503,0.78353,0.69505,0.74188,0.60639,0.83534,1.19092,0.97245,0.007129,0.007129,0.007129
60,190.389,0.82892,1.19969,1.00214,0.65267,0.68065,0.69265,0.56092,0.83615,1.18774,0.97453,0.0070795,0.0070795,0.0070795
61,193.522,0.89393,1.1787,0.98468,0.6517,0.67962,0.66927,0.54688,0.8365,1.22692,0.9711,0.00703,0.00703,0.00703
62,196.672,0.87404,1.13815,0.98314,0.79352,0.65387,0.72034,0.59449,0.83031,1.20262,0.96613,0.0069805,0.0069805,0.0069805
63,199.796,0.81607,1.1106,0.97213,0.79041,0.74256,0.76341,0.61222,0.80411,1.11736,0.96243,0.006931,0.006931,0.006931
64,202.883,0.77184,1.07476,0.96832,0.77572,0.74867,0.76681,0.62192,0.79097,1.15607,0.96051,0.0068815,0.0068815,0.0068815
65,206.008,0.80698,1.0854,0.9651,0.85111,0.73451,0.8144,0.67147,0.7962,1.08421,0.95895,0.006832,0.006832,0.006832
66,209.148,0.84821,1.15108,0.97354,0.86082,0.73576,0.81478,0.66186,0.81528,1.10638,0.96341,0.0067825,0.0067825,0.0067825
67,212.288,0.79824,1.05419,0.97136,0.85115,0.74317,0.8138,0.64591,0.81674,1.11994,0.96922,0.006733,0.006733,0.006733
68,215.43,0.86967,1.1063,0.99038,0.80357,0.76667,0.79597,0.64232,0.80527,1.14272,0.96838,0.0066835,0.0066835,0.0066835
69,218.564,0.8082,1.0522,0.97151,0.82245,0.71084,0.78597,0.63492,0.80336,1.16414,0.96234,0.006634,0.006634,0.006634
70,221.728,0.82983,1.07567,0.95531,0.82233,0.72608,0.76778,0.61264,0.84213,1.1697,0.96707,0.0065845,0.0065845,0.0065845
71,224.856,0.84439,1.09604,0.97888,0.89224,0.70073,0.81695,0.66357,0.79312,1.06975,0.95563,0.006535,0.006535,0.006535
72,227.974,0.90865,1.08373,0.99328,0.84444,0.7113,0.7956,0.63356,0.816,1.2588,0.96928,0.0064855,0.0064855,0.0064855
73,231.125,0.78845,1.11063,0.99414,0.79478,0.70118,0.76689,0.63066,0.8261,1.25702,0.97468,0.006436,0.006436,0.006436
74,234.24,0.74239,1.0656,0.96279,0.87511,0.72905,0.7866,0.64753,0.81508,1.16691,0.96775,0.0063865,0.0063865,0.0063865
75,237.404,0.77662,1.02075,0.98232,0.85893,0.74054,0.80894,0.66642,0.8405,1.15348,0.9665,0.006337,0.006337,0.006337
76,240.577,0.8107,1.06062,0.95468,0.82271,0.76116,0.78154,0.66009,0.79136,1.21535,0.94273,0.0062875,0.0062875,0.0062875
77,243.735,0.76875,0.96255,0.92976,0.83935,0.76204,0.79257,0.66188,0.79184,1.12728,0.93967,0.006238,0.006238,0.006238
78,246.872,0.76372,1.03804,0.98111,0.78818,0.80415,0.80267,0.66311,0.80419,1.18363,0.94767,0.0061885,0.0061885,0.0061885
79,250.007,0.7074,0.9551,0.96984,0.84474,0.75148,0.76879,0.63958,0.77831,1.1826,0.93589,0.006139,0.006139,0.006139
80,253.168,0.78501,1.05165,0.96682,0.84898,0.7396,0.76643,0.64549,0.78109,1.16439,0.9432,0.0060895,0.0060895,0.0060895
81,256.347,0.76629,0.96735,0.96167,0.87238,0.71857,0.77232,0.65445,0.77166,1.14778,0.94118,0.00604,0.00604,0.00604
82,259.653,0.81046,0.97308,0.95641,0.8524,0.75338,0.77414,0.65321,0.7842,1.17038,0.94251,0.0059905,0.0059905,0.0059905
83,262.818,0.79565,0.97555,0.94684,0.8669,0.74012,0.77799,0.65465,0.7592,1.13787,0.93397,0.005941,0.005941,0.005941
84,265.986,0.72983,0.92766,0.9475,0.90683,0.77469,0.8146,0.68013,0.75046,1.09851,0.94214,0.0058915,0.0058915,0.0058915
85,269.161,0.79055,0.92815,0.96029,0.90156,0.78852,0.81781,0.66805,0.77626,1.09426,0.94805,0.005842,0.005842,0.005842
86,272.306,0.7761,0.92565,0.95237,0.89603,0.74862,0.81734,0.67252,0.77421,1.07732,0.94183,0.0057925,0.0057925,0.0057925
87,275.475,0.69592,0.84848,0.94206,0.86495,0.75828,0.79501,0.66909,0.79183,1.07443,0.94722,0.005743,0.005743,0.005743
88,278.595,0.72649,0.92498,0.95223,0.80875,0.77243,0.78282,0.66185,0.75201,1.10275,0.93591,0.0056935,0.0056935,0.0056935
89,281.753,0.77795,0.97589,0.97456,0.7839,0.76127,0.75938,0.64751,0.73752,1.15386,0.93145,0.005644,0.005644,0.005644
90,284.887,0.7291,0.88006,0.95679,0.83101,0.73595,0.76897,0.65046,0.76073,1.2077,0.94121,0.0055945,0.0055945,0.0055945
91,288.043,0.72495,0.94338,0.94957,0.86199,0.72294,0.76187,0.64664,0.738,1.26166,0.94152,0.005545,0.005545,0.005545
92,291.187,0.6897,0.83442,0.93858,0.84258,0.7204,0.75833,0.66771,0.73238,1.10922,0.93222,0.0054955,0.0054955,0.0054955
93,294.316,0.72399,0.90143,0.94345,0.74455,0.76106,0.73215,0.6255,0.75325,1.12557,0.94025,0.005446,0.005446,0.005446
94,297.495,0.77661,0.89548,0.9753,0.84696,0.69521,0.7442,0.64233,0.74894,1.15733,0.94368,0.0053965,0.0053965,0.0053965
95,300.664,0.72447,0.8917,0.95939,0.85007,0.68038,0.7433,0.63417,0.75263,1.16402,0.94419,0.005347,0.005347,0.005347
96,303.862,0.73773,0.92191,0.96915,0.81424,0.73328,0.74532,0.63543,0.73553,1.20093,0.93816,0.0052975,0.0052975,0.0052975
97,307.003,0.74503,0.85486,0.96165,0.84314,0.70648,0.7314,0.62682,0.76712,1.2023,0.94761,0.005248,0.005248,0.005248
98,310.248,0.68267,0.83137,0.94029,0.79528,0.7443,0.73531,0.6286,0.77371,1.20054,0.9449,0.0051985,0.0051985,0.0051985
99,313.393,0.6877,0.83009,0.92233,0.82866,0.6507,0.71407,0.61162,0.74205,1.21732,0.9447,0.005149,0.005149,0.005149
100,316.573,0.75485,0.8568,0.93532,0.77775,0.72248,0.71306,0.61575,0.73443,1.23197,0.94011,0.0050995,0.0050995,0.0050995
101,319.719,0.73992,0.8378,0.95928,0.83243,0.76192,0.75377,0.63637,0.75029,1.15047,0.93836,0.00505,0.00505,0.00505
102,322.881,0.7064,0.85543,0.94638,0.85408,0.74831,0.7657,0.66625,0.72685,1.14614,0.93307,0.0050005,0.0050005,0.0050005
103,326.127,0.66191,0.82557,0.93932,0.73751,0.77837,0.73513,0.64428,0.7203,1.14754,0.92751,0.004951,0.004951,0.004951
104,329.327,0.7593,0.83861,0.93376,0.82195,0.74345,0.75397,0.63681,0.77436,1.13082,0.93854,0.0049015,0.0049015,0.0049015
